"Periodo","SO2","Valor"
"1999","16.7","43.73"
"2000","16.6","43.46"
"2001","12.6","32.99"
"2002","11.1","29.06"
"2003","10.5","27.49"
"2004","13.1","34.3"
"2005","9","23.56"
"2006","6.1","15.97"
"2007","6.8","17.8"
"2008","9.2","24.09"
"2009","9.2","24.09"
"2010","3.8","9.95"
"2011","3.7","9.68"
"2012","2.7","7.07"
"2013","3.3","8.64"
"2014","1.6","4.18"
"2015","1.3","3.3"
"2016","1.5","3.9"
"2017","2.3","6.02"
"2018","1.6","4.18"
"2019","2.3","5.4"
"2020","1.8","4.7"
"2021","2","5.33"
"2022","1.8","4.7"
"2023","1.6","4.2"
