PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,20.78,21.9,21.15,19.57,18.98,18.34,17.97,17.93,17.94,17.9,17.38,17.53,18.95
T2M,2011,18.14,17.97,17.83,18.05,18.06,18.17,17.6,18.02,18.08,17.33,17.52,18.04,17.9
T2M,2012,18.05,18.13,18.5,17.8,18.08,17.84,17.91,17.92,18.07,18.04,18.51,18.16,18.08
T2M,2013,18.95,18.64,19.2,19.2,18.4,18.01,17.75,18.03,18.44,18.37,17.79,18.21,18.42
T2M,2014,18.67,18.83,18.67,19.2,18.77,18.2,18.09,17.95,18.68,18.25,18.3,18.24,18.49
T2M,2015,18.26,19.02,19.15,19.07,18.99,18.24,18.45,19.27,19.58,19.79,18.78,19.91,19.04
T2M,2016,20.79,21.44,21.08,19.54,19.31,18.47,18.58,19.08,19.05,18.96,18.33,18.39,19.42
T2M,2017,18.22,19.05,18.58,18.94,18.56,18.32,17.98,18.56,18.83,18.57,18.3,18.25,18.51
T2M,2018,18.31,18.7,19.16,18.01,18.39,17.9,17.99,17.51,18.33,18.25,18.62,18.3,18.29
T2M,2019,18.93,19.58,19.17,19.07,18.96,18.35,18.0,18.2,18.71,18.62,18.49,19.1,18.76
T2M,2020,18.85,19.27,19.38,19.68,19.65,18.53,18.29,18.79,18.95,19.17,18.61,19.32,19.04
T2M,2021,18.84,19.62,18.69,19.2,19.16,18.36,18.63,19.18,19.14,19.62,19.26,19.74,19.12
T2M,2022,19.45,19.29,18.86,18.88,18.72,17.94,18.19,18.12,18.67,18.32,17.98,18.0,18.53
T2M_MAX,2010,29.78,31.6,30.03,28.27,25.55,24.57,23.93,25.21,24.99,25.03,22.88,24.31,31.6
T2M_MAX,2011,24.9,24.94,25.27,24.27,23.89,24.52,24.01,25.6,25.04,24.63,23.78,24.42,25.6
T2M_MAX,2012,24.29,24.92,25.12,24.4,23.77,24.62,24.11,24.57,25.02,25.09,24.89,25.11,25.12
T2M_MAX,2013,25.86,25.97,26.59,26.19,25.04,24.55,23.95,24.56,25.69,25.27,23.99,25.31,26.59
T2M_MAX,2014,25.07,25.54,26.27,25.65,24.83,24.36,24.51,24.89,25.76,24.88,25.03,25.15,26.27
T2M_MAX,2015,25.3,26.14,27.56,25.5,25.52,24.38,25.54,26.76,28.06,28.34,25.8,28.75,28.75
T2M_MAX,2016,29.74,29.45,30.63,27.16,26.75,25.94,25.55,27.24,26.95,26.26,24.7,24.91,30.63
T2M_MAX,2017,25.88,27.67,26.56,26.39,25.47,24.79,24.37,25.22,26.48,25.89,24.48,25.3,27.67
T2M_MAX,2018,25.56,25.38,26.99,24.29,24.27,24.29,24.21,24.69,25.5,25.15,25.45,25.2,26.99
T2M_MAX,2019,26.19,26.4,25.91,25.27,25.89,24.97,24.35,24.93,25.79,25.41,25.32,25.34,26.4
T2M_MAX,2020,26.58,27.51,26.82,26.58,26.27,25.02,24.53,26.09,26.73,26.6,24.77,26.92,27.51
T2M_MAX,2021,27.08,27.27,25.93,26.46,26.23,25.12,25.32,26.83,26.85,27.57,26.3,27.01,27.57
T2M_MAX,2022,28.56,27.9,25.86,26.24,25.8,24.11,24.54,25.18,25.53,24.88,24.74,24.76,28.56
T2M_MIN,2010,9.58,14.28,13.42,13.41,13.95,11.35,12.64,11.21,11.9,12.64,12.76,12.41,9.58
T2M_MIN,2011,11.65,11.97,12.22,13.83,12.22,12.4,11.05,10.92,10.78,11.12,12.33,12.31,10.78
T2M_MIN,2012,12.61,11.0,13.52,12.62,11.87,10.76,11.02,11.53,11.25,12.18,13.02,11.43,10.76
T2M_MIN,2013,9.95,13.64,13.23,14.18,12.92,11.62,11.82,11.02,11.71,11.28,13.08,12.49,9.95
T2M_MIN,2014,11.39,12.52,14.14,12.3,12.66,11.86,11.97,8.44,11.19,12.09,12.84,11.73,8.44
T2M_MIN,2015,8.45,13.72,13.52,12.81,12.24,12.0,11.07,11.81,10.33,12.92,12.87,11.8,8.45
T2M_MIN,2016,13.38,14.67,13.9,14.4,13.54,11.99,11.8,12.06,11.44,13.08,12.8,12.82,11.44
T2M_MIN,2017,10.73,13.08,14.42,12.51,12.49,11.9,11.79,11.72,11.26,12.97,13.28,10.25,10.25
T2M_MIN,2018,11.55,11.68,12.83,13.1,12.53,11.74,12.22,9.89,11.98,13.06,13.63,10.99,9.89
T2M_MIN,2019,10.74,13.73,13.37,13.44,13.14,11.95,11.28,11.38,10.96,12.86,13.17,13.37,10.74
T2M_MIN,2020,10.2,9.69,11.04,14.27,12.95,11.82,11.15,11.78,11.65,12.01,13.94,11.88,9.69
T2M_MIN,2021,10.89,14.18,14.33,12.93,13.22,10.87,11.48,12.24,11.98,13.49,13.88,14.6,10.87
T2M_MIN,2022,13.78,13.01,13.81,13.69,12.94,12.19,11.41,11.63,12.09,11.69,13.14,11.9,11.41
