PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,17.61,18.16,18.08,17.23,16.93,16.05,15.81,15.9,15.89,15.83,14.93,15.17,16.47
T2M,2011,15.55,15.55,15.27,15.67,16.06,15.93,15.58,15.93,15.89,15.1,15.29,15.42,15.6
T2M,2012,15.34,15.28,15.89,15.65,15.78,15.66,15.96,15.91,16.31,15.75,15.98,15.72,15.77
T2M,2013,16.63,16.28,16.81,16.72,16.02,15.95,15.9,15.81,16.32,16.13,15.45,15.85,16.16
T2M,2014,16.17,16.09,16.07,16.68,16.27,16.3,16.62,16.27,16.68,16.07,15.83,16.11,16.26
T2M,2015,15.87,16.36,16.32,16.59,16.71,16.53,16.48,17.27,17.63,16.89,16.56,17.24,16.7
T2M,2016,17.69,18.2,17.62,17.24,16.95,15.97,16.14,16.77,16.44,16.42,16.08,15.78,16.78
T2M,2017,15.7,15.97,15.92,16.53,16.35,16.1,15.85,16.31,16.34,16.09,15.87,16.0,16.09
T2M,2018,15.62,16.27,16.49,15.83,16.11,15.73,15.98,15.94,16.21,16.06,16.21,15.93,16.03
T2M,2019,16.61,16.99,16.92,16.79,16.51,16.35,16.04,16.69,16.69,15.9,16.17,16.43,16.51
T2M,2020,16.55,17.21,17.03,16.96,17.16,16.29,15.98,16.38,16.63,16.59,16.22,16.14,16.6
T2M,2021,16.24,16.75,16.02,16.19,16.42,15.67,15.79,15.89,16.0,16.47,15.99,16.33,16.15
T2M,2022,16.2,16.22,16.17,16.08,16.24,15.51,15.85,15.68,16.14,15.93,15.85,15.43,15.94
T2M_MAX,2010,26.47,27.82,26.92,25.49,24.17,22.76,22.85,23.74,23.62,23.94,21.9,21.89,27.82
T2M_MAX,2011,22.58,23.17,22.74,21.24,22.61,22.3,22.56,23.98,23.7,22.85,22.95,21.87,23.98
T2M_MAX,2012,22.42,21.41,22.23,22.62,22.28,22.53,23.19,23.48,24.48,23.95,22.86,22.67,24.48
T2M_MAX,2013,23.79,23.28,23.74,23.84,22.46,23.02,23.08,22.76,25.26,24.63,21.54,22.79,25.26
T2M_MAX,2014,23.14,22.55,24.23,24.25,22.96,22.86,24.04,24.43,24.65,24.03,22.87,22.85,24.65
T2M_MAX,2015,23.13,24.03,23.55,23.51,23.75,22.97,23.7,25.04,25.97,25.33,23.64,25.96,25.97
T2M_MAX,2016,26.25,26.22,26.39,24.65,23.4,22.74,23.21,24.88,25.08,23.89,22.92,22.03,26.39
T2M_MAX,2017,22.89,24.09,22.74,23.14,22.7,22.89,22.65,23.72,23.97,23.78,21.77,23.68,24.09
T2M_MAX,2018,23.0,23.12,23.7,22.1,21.85,22.15,22.51,23.0,23.78,23.33,22.39,23.16,23.78
T2M_MAX,2019,24.49,23.86,24.37,23.37,23.39,22.87,22.95,24.17,24.51,22.86,23.3,23.23,24.51
T2M_MAX,2020,24.1,24.71,24.67,24.15,24.17,23.36,23.15,24.17,25.13,24.77,24.09,22.84,25.13
T2M_MAX,2021,23.53,23.2,22.69,23.02,23.24,22.55,22.87,22.79,23.53,24.35,22.32,23.68,24.35
T2M_MAX,2022,23.72,23.0,23.31,22.45,23.25,21.06,22.16,22.91,23.44,22.25,22.32,22.2,23.72
T2M_MIN,2010,8.22,11.69,12.09,11.62,12.13,10.14,9.52,9.49,9.81,11.0,10.56,10.02,8.22
T2M_MIN,2011,8.68,11.25,9.46,10.71,9.56,10.15,8.86,9.48,8.88,9.73,10.21,11.21,8.68
T2M_MIN,2012,9.69,11.09,10.33,11.18,10.52,9.52,10.39,8.64,9.23,10.53,11.29,10.25,8.64
T2M_MIN,2013,9.93,10.74,11.85,11.54,11.98,10.0,9.59,9.46,9.9,10.43,11.31,9.94,9.46
T2M_MIN,2014,9.61,10.43,10.15,11.31,11.13,10.43,10.57,10.06,10.41,10.71,11.06,9.21,9.21
T2M_MIN,2015,9.24,10.83,11.49,11.5,10.98,10.95,9.44,10.67,10.87,10.77,10.71,10.08,9.24
T2M_MIN,2016,11.19,11.41,12.4,12.04,12.34,10.37,10.51,10.27,10.05,11.66,10.05,8.99,8.99
T2M_MIN,2017,10.42,10.01,11.32,10.57,10.8,10.9,9.19,10.04,11.18,10.4,10.64,9.68,9.19
T2M_MIN,2018,9.51,9.22,11.12,11.01,11.09,9.94,9.5,9.27,9.65,9.12,11.09,8.95,8.95
T2M_MIN,2019,10.63,11.99,11.93,11.88,10.78,10.99,9.59,9.4,10.73,9.95,11.67,11.78,9.4
T2M_MIN,2020,9.2,9.6,9.35,12.08,12.47,10.65,9.92,10.66,9.94,10.68,11.53,11.17,9.2
T2M_MIN,2021,10.19,12.09,10.71,9.88,10.68,9.41,9.56,9.96,9.47,11.28,11.83,11.46,9.41
T2M_MIN,2022,10.54,11.57,9.4,8.71,10.75,9.25,10.24,8.73,9.87,10.15,11.71,9.12,8.71
