PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,18.06,19.09,19.04,18.38,18.16,17.71,17.21,17.54,17.02,16.99,16.46,16.78,17.7
T2M,2011,17.12,17.08,17.15,17.03,17.87,17.67,17.37,17.63,17.56,16.46,16.56,17.03,17.21
T2M,2012,17.16,17.26,17.29,17.25,17.69,17.75,17.66,17.33,17.45,17.03,17.35,17.13,17.36
T2M,2013,17.67,17.6,18.09,17.93,17.54,17.96,17.71,17.45,17.64,17.43,16.86,17.15,17.59
T2M,2014,17.5,17.45,17.79,18.39,17.75,18.06,18.2,17.71,17.77,17.22,17.15,17.31,17.69
T2M,2015,17.03,17.78,17.87,17.97,18.32,18.3,18.27,18.65,18.75,18.01,17.52,18.24,18.06
T2M,2016,18.94,20.01,19.76,18.91,18.58,17.91,17.87,18.22,17.89,17.45,17.41,17.27,18.35
T2M,2017,17.36,17.71,17.43,18.18,18.06,17.75,17.91,17.92,17.91,17.69,17.11,17.26,17.69
T2M,2018,17.0,17.54,18.1,17.28,17.6,17.91,17.9,17.69,17.74,17.17,17.26,17.28,17.54
T2M,2019,17.71,18.22,18.27,18.15,18.37,18.1,17.99,18.44,18.47,17.38,17.57,17.9,18.05
T2M,2020,17.84,18.37,18.64,18.43,18.67,17.84,17.68,17.91,17.91,17.96,17.31,17.6,18.01
T2M,2021,17.9,18.07,17.53,18.29,18.82,18.32,19.21,18.73,18.87,18.19,17.75,17.42,18.26
T2M,2022,17.43,17.57,17.5,17.58,17.96,17.17,17.72,17.62,17.61,17.25,17.03,17.0,17.45
T2M_MAX,2010,24.49,26.35,26.85,25.34,24.39,23.39,22.32,22.99,23.11,23.1,21.93,22.64,26.85
T2M_MAX,2011,23.6,23.87,23.44,23.14,23.62,23.19,22.85,23.76,23.97,22.31,22.98,23.15,23.97
T2M_MAX,2012,23.31,23.55,23.8,23.76,23.42,23.38,23.32,22.78,23.22,23.65,22.98,23.08,23.8
T2M_MAX,2013,24.2,23.8,24.86,24.22,22.99,24.01,23.44,23.46,23.89,23.87,23.69,23.45,24.86
T2M_MAX,2014,23.62,23.11,24.15,24.39,23.43,23.77,23.63,23.71,23.97,23.22,22.46,23.43,24.39
T2M_MAX,2015,23.74,24.74,25.4,24.58,24.36,23.41,24.09,25.81,25.63,25.84,23.28,25.14,25.84
T2M_MAX,2016,27.02,28.35,29.12,27.1,24.69,23.88,23.31,24.83,23.52,23.5,23.92,23.25,29.12
T2M_MAX,2017,23.48,24.71,23.84,24.64,24.3,24.32,23.19,23.55,24.16,24.22,22.97,23.61,24.71
T2M_MAX,2018,23.97,24.64,25.05,23.81,23.26,23.4,23.35,23.71,23.99,23.02,23.14,23.46,25.05
T2M_MAX,2019,24.32,25.42,25.67,24.53,24.47,23.53,23.74,24.47,25.7,23.78,23.99,24.15,25.7
T2M_MAX,2020,24.28,26.09,25.57,25.34,24.89,23.54,23.49,23.8,24.57,24.16,23.41,23.73,26.09
T2M_MAX,2021,24.43,24.64,24.91,25.62,26.51,25.76,27.2,26.73,26.73,26.22,24.25,23.62,27.2
T2M_MAX,2022,24.11,24.49,23.62,23.33,23.84,22.4,23.01,23.47,23.65,23.58,23.48,23.05,24.49
T2M_MIN,2010,10.73,14.21,13.35,14.03,14.11,13.2,13.17,13.68,12.83,12.16,12.91,12.34,10.73
T2M_MIN,2011,12.27,12.62,12.24,13.76,13.54,14.05,13.14,13.68,13.01,11.67,11.73,12.54,11.67
T2M_MIN,2012,12.21,11.52,12.25,12.88,14.24,11.8,12.82,12.86,12.68,12.57,13.42,12.64,11.52
T2M_MIN,2013,10.99,13.05,13.41,13.5,13.44,14.21,13.4,13.17,13.67,13.46,12.22,12.64,10.99
T2M_MIN,2014,12.8,13.87,14.06,13.92,12.78,13.43,12.69,12.76,13.33,12.71,12.59,11.75,11.75
T2M_MIN,2015,11.36,13.45,13.15,13.35,13.42,13.95,13.47,13.85,13.41,13.92,14.04,13.71,11.36
T2M_MIN,2016,12.15,14.38,14.45,13.65,14.42,13.59,13.07,13.06,14.0,13.61,13.19,12.72,12.15
T2M_MIN,2017,12.23,11.93,13.36,13.78,13.82,12.76,13.26,13.5,14.22,13.24,11.59,11.24,11.24
T2M_MIN,2018,11.03,12.68,13.15,13.29,13.01,13.61,13.8,12.43,13.36,12.08,13.62,12.14,11.03
T2M_MIN,2019,12.01,13.61,13.89,14.28,14.01,13.96,12.92,13.7,14.24,13.17,13.84,13.09,12.01
T2M_MIN,2020,11.66,12.17,12.01,14.04,14.71,12.91,12.27,12.71,13.23,13.88,12.06,12.89,11.66
T2M_MIN,2021,12.35,13.21,12.43,13.64,13.45,13.16,13.02,13.2,13.85,14.03,13.26,12.57,12.35
T2M_MIN,2022,12.14,12.72,12.22,13.19,13.1,13.31,13.2,12.92,13.78,13.23,13.32,12.11,12.11
