PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,16.65,17.47,17.46,16.94,16.71,15.99,15.62,15.69,15.38,15.59,15.16,15.39,16.17
T2M,2011,15.59,15.48,15.58,15.65,16.19,15.95,15.4,15.7,15.67,15.05,15.36,15.57,15.6
T2M,2012,15.57,15.81,15.82,15.74,15.99,15.74,15.81,15.65,15.53,15.59,16.03,15.78,15.76
T2M,2013,16.45,16.17,16.66,16.64,16.05,15.93,15.62,15.68,15.73,15.78,15.52,15.85,16.01
T2M,2014,16.08,16.23,16.21,16.62,16.25,16.16,16.01,15.7,16.07,15.74,15.74,15.95,16.06
T2M,2015,15.74,16.4,16.36,16.47,16.61,16.16,16.09,16.62,16.78,16.26,16.07,16.53,16.34
T2M,2016,17.46,18.07,17.88,17.22,16.79,15.88,15.88,16.17,16.01,16.08,16.05,15.7,16.6
T2M,2017,15.87,16.17,15.97,16.57,16.42,16.21,15.99,16.33,16.21,16.08,15.84,16.03,16.14
T2M,2018,15.63,16.36,16.59,15.91,16.16,15.86,15.95,15.47,15.92,15.92,16.1,15.78,15.97
T2M,2019,16.42,16.86,16.74,16.84,16.67,16.33,15.99,16.16,16.44,15.92,16.12,16.53,16.42
T2M,2020,16.44,16.95,17.04,17.13,17.0,16.1,15.89,16.16,16.24,16.17,16.14,16.25,16.46
T2M,2021,16.51,16.82,16.03,16.55,16.65,15.85,16.09,16.4,16.49,16.78,16.35,16.42,16.41
T2M,2022,16.09,16.16,16.27,16.3,16.31,15.57,15.86,15.76,15.98,15.86,15.74,15.57,15.96
T2M_MAX,2010,23.2,25.23,24.66,24.04,23.2,22.01,21.97,21.92,22.23,22.42,21.24,21.7,25.23
T2M_MAX,2011,22.68,22.34,22.59,22.01,22.47,22.02,21.66,22.73,22.68,21.12,21.97,21.79,22.73
T2M_MAX,2012,22.23,22.57,22.0,21.95,22.27,22.05,21.94,22.55,22.26,22.52,22.17,21.72,22.57
T2M_MAX,2013,23.13,22.54,23.36,22.9,22.29,22.61,21.95,22.24,23.17,22.47,21.24,22.16,23.36
T2M_MAX,2014,22.35,22.11,23.18,22.7,21.86,22.57,22.3,22.35,22.41,21.95,21.95,22.11,23.18
T2M_MAX,2015,22.23,23.45,23.4,22.81,22.89,21.91,23.45,23.18,24.32,23.81,22.0,23.59,24.32
T2M_MAX,2016,24.92,25.68,25.95,24.95,22.95,22.78,22.39,23.19,22.57,22.64,22.32,21.61,25.95
T2M_MAX,2017,22.24,23.63,22.57,23.52,23.38,23.18,21.92,23.05,22.93,23.02,21.86,22.5,23.63
T2M_MAX,2018,23.08,23.2,23.45,22.98,22.19,22.27,21.88,22.41,22.9,21.86,21.96,22.1,23.45
T2M_MAX,2019,23.38,23.84,23.44,22.92,23.15,22.01,22.63,22.98,23.52,22.29,22.33,23.01,23.84
T2M_MAX,2020,23.2,24.1,23.84,23.9,23.57,22.6,22.41,22.69,23.95,22.96,22.74,23.09,24.1
T2M_MAX,2021,23.33,23.37,22.86,23.03,23.18,22.96,22.83,23.27,23.96,24.44,23.08,23.12,24.44
T2M_MAX,2022,23.15,22.85,23.2,22.49,23.02,21.45,21.58,22.05,22.72,22.09,22.17,22.0,23.2
T2M_MIN,2010,8.36,12.09,11.09,11.7,12.18,10.34,10.22,10.3,9.96,10.41,10.89,10.51,8.36
T2M_MIN,2011,10.38,10.77,9.96,11.53,10.45,11.27,9.45,9.49,9.58,9.69,10.16,11.07,9.45
T2M_MIN,2012,10.43,10.54,11.28,11.45,11.16,9.26,10.4,9.88,8.64,11.04,11.53,11.35,8.64
T2M_MIN,2013,9.1,11.96,11.51,11.12,11.06,10.48,10.39,10.33,10.29,9.95,9.97,11.23,9.1
T2M_MIN,2014,10.27,12.54,11.29,11.68,10.74,10.43,10.58,9.01,10.2,10.33,10.78,10.28,9.01
T2M_MIN,2015,8.24,11.42,9.63,11.64,11.97,11.28,9.74,10.57,9.3,10.8,11.74,10.38,8.24
T2M_MIN,2016,11.93,11.77,12.84,12.17,11.7,10.34,10.0,10.43,9.89,11.16,10.3,10.64,9.89
T2M_MIN,2017,10.87,10.34,11.45,11.07,12.22,10.34,10.35,9.97,10.29,11.19,10.23,10.1,9.97
T2M_MIN,2018,9.61,10.42,11.96,10.71,11.39,10.6,11.12,8.67,9.21,10.98,10.91,8.35,8.35
T2M_MIN,2019,10.13,12.5,12.71,13.01,11.72,11.17,10.4,9.48,10.22,10.39,12.24,12.26,9.48
T2M_MIN,2020,8.5,9.76,10.5,11.71,11.56,10.21,9.77,10.59,10.32,9.64,11.35,10.38,8.5
T2M_MIN,2021,10.67,11.54,10.76,11.46,10.94,10.18,9.15,10.65,10.5,12.4,12.02,10.6,9.15
T2M_MIN,2022,11.22,11.59,9.69,9.75,11.01,10.23,10.03,9.6,11.06,10.47,11.97,10.85,9.6
